path;tsneX;tsneY;tsneZ;colors;colorPercent;abstractLevel;style;ID
images/o512_st00001_sr;0.45520747;0.81906235;-0.9408006999999999;184, 173, 176|73, 69, 69|118, 98, 108|207, 191, 203|154, 136, 147;0.38, 0.07, 0.17, 0.22, 0.16;0.0;14.0846;1-0qKU6MHd8ThlFQC_OPcttGqpye1EKyV
images/o512_st00002_sr;-0.2996313;1.1068554;-0.21585292;65, 49, 112|205, 107, 205|192, 193, 197|150, 101, 145|69, 126, 76;0.11, 0.33, 0.27, 0.18, 0.11;0.0;18.8341;1-2dX49Y-Vg5PsJ1fiy7P0zBP-JPUtkEB
images/o512_st00003_sr;-0.19995423;0.13258483;-1.7174677;214, 206, 204|78, 63, 51|133, 107, 90|179, 153, 141|242, 244, 244;0.24, 0.12, 0.17, 0.13, 0.33;0.0;18.6330;1-LNn9FJQtHshxOC0RsYHYr7B5w3u2RhC
images/o512_st00004_sr;-0.10803227;1.2702619;-0.4007653;214, 210, 177|29, 30, 42|102, 93, 45|151, 137, 99|182, 179, 164;0.28, 0.12, 0.15, 0.15, 0.31;0.0;18.5811;1-V_48oWCarygRALpe_qgjooxHmEfBeRs
images/o512_st00005_sr;-0.025814458999999998;1.1122311000000003;-0.30688109999999996;188, 200, 208|72, 84, 98|138, 140, 144|228, 233, 230|24, 31, 39;0.4, 0.16, 0.18, 0.18, 0.09;0.0;18.5102;1-_75p6yDOifyQwwqDfvmQqJUaFf32USP
images/o512_st00006_sr;-0.26811776;0.16466236;-1.6683986000000002;223, 216, 213|100, 89, 88|199, 191, 189|155, 133, 132|39, 42, 42;0.35, 0.11, 0.26, 0.13, 0.14;0.0;18.5712;1-_IczwldaQ04c7znbgoCMDSLEUJfxcFo
images/o512_st00007_sr;-0.17188981;1.2499855;-0.46068764;68, 98, 85|185, 194, 199|219, 221, 226|20, 30, 24|123, 147, 148;0.16, 0.25, 0.29, 0.13, 0.16;0.0;18.6356;1-mEUhd9sAdNq-XLTU2aMVgDWMj7o12X0
images/o512_st00008_sr;-0.08279;1.1824743999999998;-0.26724827;97, 77, 75|22, 30, 34|134, 172, 153|148, 109, 136|181, 171, 174;0.16, 0.14, 0.15, 0.18, 0.37;0.0;18.5037;1-u_AvOSYl45eEmf_nzKXDk0qaHxFsT5o
images/o512_st00009_sr;0.34184549999999997;0.85630625;-1.4096203;170, 152, 145|79, 58, 42|184, 183, 183|132, 104, 89|26, 13, 6;0.19, 0.08, 0.46, 0.14, 0.13;0.0;18.5081;1-wdP9cM5txwYRpqXosdqGWhULuzKfZgD
images/o512_st00010_sr;-0.040782884;1.123362;-0.42712224;151, 153, 151|9, 15, 22|99, 107, 113|175, 173, 168|54, 63, 70;0.27, 0.17, 0.13, 0.3, 0.12;0.0;18.5410;1-wgIOhmJvb-gKeMTp8-tSlFBKfKvU71N
images/o512_st00011_sr;-0.1929088;1.2764393;-0.29344190000000003;225, 236, 228|127, 143, 126|49, 66, 63|169, 207, 182|55, 144, 61;0.4, 0.15, 0.07, 0.23, 0.15;0.0;18.5837;101KZC4zFzCbLYDufS-HI2HlfCD8EBkWo
images/o512_st00012_sr;-0.018450268;1.1773483999999999;-0.18443124;53, 43, 151|150, 148, 182|113, 89, 158|186, 187, 185|57, 61, 75;0.09, 0.25, 0.23, 0.27, 0.16;0.0;18.5318;102T3oug0IDhq-JFe2RkfavO5Ja8dNAEU
images/o512_st00013_sr;0.00093457854;1.199075;-0.24376611;128, 159, 195|33, 47, 62|160, 179, 191|112, 120, 139|61, 84, 116;0.35, 0.11, 0.24, 0.17, 0.14;0.0;18.4734;105FHhZG6eqeKIzRRH6Il1TtBtlCO9N-Q
images/o512_st00014_sr;-1.5873727;-1.4708246;0.21521983;177, 206, 96|110, 80, 16|161, 173, 64|182, 218, 127|138, 126, 37;0.27, 0.13, 0.15, 0.31, 0.13;0.0;58.6437;1091LMJhiwfZYD0UcrZC0m9l1P4d8Zfp5
images/o512_st00015_sr;-0.006002289;1.1695392;-0.0081382785;127, 205, 108|66, 73, 59|170, 166, 174|126, 107, 128|89, 167, 30;0.22, 0.13, 0.34, 0.16, 0.14;0.0;18.0864;10FuYySS8EvjDEeiire843033gUwSqyHM
images/o512_st00016_sr;0.27692083;0.83894366;-1.4039295;87, 65, 48|141, 123, 117|35, 18, 10|123, 98, 86|141, 142, 141;0.12, 0.2, 0.14, 0.15, 0.39;0.0;9.1206;10N_YD0I3UrwkemodLfO2gVArsxLTBFpR
images/o512_st00017_sr;-0.20383945;1.0686737;-0.23101784;200, 193, 197|47, 43, 48|150, 103, 85|196, 110, 182|231, 235, 230;0.26, 0.14, 0.19, 0.19, 0.22;0.0;18.6856;10Rx0lFW_O9dxp6_FuBLvyozPzWuC33s4
images/o512_st00018_sr;-0.23581478;0.24460237;-1.6670305;217, 218, 219|151, 123, 108|185, 171, 165|244, 248, 250|97, 77, 65;0.24, 0.2, 0.19, 0.16, 0.2;0.0;18.4642;10Xo2ZwYr6K4PzMmG8HsmiAM68Knv95c2
images/o512_st00019_sr;-0.08271231;1.2897577;-0.48360756;35, 36, 36|128, 109, 199|99, 94, 107|216, 215, 227|177, 182, 203;0.12, 0.19, 0.16, 0.19, 0.34;0.0;18.6619;10dx07usdGdMbmuU4XdYXnaapFoeVcIbV
images/o512_st00020_sr;-0.35517934;0.15755498;1.1182459999999999;167, 172, 119|103, 78, 97|55, 40, 54|132, 108, 131|155, 126, 158;0.11, 0.2, 0.1, 0.36, 0.24;0.0;26.8376;10fxlcbmKQYqgz5kTDa_o1KHrN562a4fY
images/o512_st00021_sr;-0.20261171;0.2761941;-1.6059508;195, 195, 195|135, 109, 93|99, 80, 68|185, 172, 168|165, 138, 126;0.43, 0.15, 0.16, 0.15, 0.12;0.0;18.5536;10kaj_kRzEQ07wrNHoLY96q8hm3fWjG0a
images/o512_st00022_sr;0.9713509;0.21586755;-1.4404370000000002;84, 119, 114|110, 152, 146|19, 31, 28|53, 81, 75|121, 182, 175;0.23, 0.29, 0.1, 0.16, 0.22;0.0;18.4883;10ljlic8_3TVyRWC-m1sdNz663XppozEg
images/o512_st00023_sr;-0.017749162;1.3429147;-0.23722893;138, 96, 65|147, 174, 177|69, 69, 55|117, 183, 116|178, 119, 133;0.15, 0.28, 0.14, 0.26, 0.17;0.0;18.5017;10mKkxmI2GqQBwMOm8s5FNB7OBJzVCQv1
images/o512_st00024_sr;-0.33927354;-1.4480879999999998;0.62600344;125, 126, 39|231, 233, 230|201, 183, 181|63, 59, 69|176, 108, 118;0.1, 0.32, 0.29, 0.1, 0.19;0.0;18.4811;10r-Z-0q8ios_s-82Tdg3jTrLxqa9-ecw
images/o512_st00025_sr;-0.34559867;0.62636745;-0.19114919;173, 208, 160|118, 124, 100|94, 160, 62|181, 246, 143|146, 191, 116;0.18, 0.2, 0.09, 0.31, 0.23;0.0;9.6433;10tdQ2V_XMt9TodbAtzzYO4MjT5whqEjB
images/o512_st00026_sr;0.35527492;0.89161146;-1.3328212;226, 236, 248|119, 113, 102|181, 182, 187|151, 147, 144|203, 210, 223;0.28, 0.2, 0.14, 0.14, 0.23;0.0;9.3136;10yTAcTewB9QYUw6-trbC22uYUe7f-Lvo
images/o512_st00027_sr;-0.026853442;1.2016456;-0.3271824;170, 186, 166|35, 74, 62|106, 103, 76|151, 144, 119|206, 205, 186;0.21, 0.14, 0.13, 0.12, 0.4;0.0;18.4687;11-K9f6g7VHna-9i5tW8hL9CRSdmEXT9y
